Iteration,Discriminator Loss,Generator Loss
5460,0.992002,0.298776
5470,1.098767,0.413838
5480,1.252989,0.623034
5490,1.259932,0.367577
5500,1.218962,0.476906
5510,1.207855,0.219663
5520,0.881262,0.258683
5530,1.143670,0.293052
5540,0.995879,0.245207
5550,1.152696,0.888325
5560,1.014365,0.328804
5570,1.212567,0.367812
5580,1.286286,0.660973
5590,1.090385,0.189728
5600,1.064137,0.332260
5610,0.984339,0.475511
5620,1.083175,0.251802
5630,0.995915,0.542146
5640,0.951754,0.433751
5650,1.211033,0.616474
5660,1.186704,0.429554
5670,1.007490,0.340789
5680,1.117339,0.261844
5690,1.288156,0.484204
5700,1.175564,0.862196
5710,1.170579,0.349895
5720,1.237208,0.506717
5730,0.792166,0.338035
5740,1.113577,0.979770
5750,0.869993,0.281691
5760,1.231203,0.860285
5770,1.252894,0.902107
5780,1.100119,0.240011
5790,0.904137,0.285546
5800,1.401225,0.445746
5810,1.208830,0.651232
5820,0.939603,0.216706
5830,1.297854,0.383503
5840,1.174209,0.348250
5850,1.049653,0.237055
5860,1.241629,0.710958
5870,1.348029,0.270463
5880,1.041978,0.745814
5890,0.779563,0.326059
5900,1.361435,0.802567
5910,1.265128,0.492679
5920,1.214651,0.751858
5930,1.207697,0.251166
5940,0.795111,0.258231
5950,1.164130,0.523979
5960,0.833532,0.235756
5970,1.169696,0.291599
5980,1.178723,0.689214
5990,1.028223,0.227277
6000,1.047639,0.898645
6010,1.393922,0.637254
6020,1.120990,0.722146
6030,1.242845,0.165127
6040,1.739536,0.397972
6050,1.100890,0.303146
6060,1.428922,0.478924
6070,1.211121,0.238207
6080,1.188625,0.383615
6090,1.592677,0.386345
6100,0.860648,0.291848
6110,1.013568,0.754673
6120,1.172006,0.615984
6130,0.939548,0.292194
6140,1.243300,0.481055
6150,0.999006,0.283593
6160,0.718056,0.361993
6170,0.843787,0.332325
6180,0.985004,0.236194
6190,1.021440,0.304232
6200,1.045009,0.933165
6210,1.228162,0.586872
6220,0.936254,0.335101
6230,1.217884,0.235336
6240,1.147491,0.394811
6250,1.474819,0.320672
6260,0.944682,0.238821
6270,1.166436,0.966492
6280,0.896567,0.333334
6290,1.048416,0.415043
6300,0.927042,0.144017
6310,1.117451,0.333611
6320,1.580930,0.403317
6330,1.058509,0.713436
6340,1.168828,0.722183
6350,1.141955,0.351413
6360,1.152440,0.667723
6370,1.206109,0.629305
6380,0.898628,0.236907
6390,0.714410,0.250891
6400,1.161881,0.642698
6410,1.201867,0.417320
6420,0.681339,0.261563
6430,1.166148,0.928162
6440,1.335730,0.426248
6450,1.149730,0.662986
6460,1.261340,0.527316
6470,1.240776,0.547146
6480,1.167139,0.427717
6490,1.102694,0.552487
6500,0.852580,0.364303
6510,1.109532,0.378855
6520,1.137104,0.852817
6530,0.855509,0.359155
6540,0.920467,0.313000
6550,0.731408,0.186238
6560,1.061352,0.564492
6570,1.438402,0.356433
6580,1.055830,0.703126
6590,1.041708,0.442971
6600,1.224411,0.665286
6610,1.085990,0.378235
6620,1.190276,0.561528
6630,1.185258,0.480310
6640,0.970068,0.190402
6650,1.103606,0.658893
6660,1.459612,0.306417
6670,1.132431,0.212563
6680,1.447945,0.321756
6690,1.180919,0.367697
6700,1.239667,0.419293
6710,1.245173,0.724991
6720,1.098406,0.524516
6730,0.692169,0.273482
6740,1.183433,0.753664
6750,1.240721,0.805188
6760,1.111989,0.186346
6770,0.858332,0.230228
6780,1.212722,0.468369
6790,1.096731,0.130283
6800,1.141687,0.302135
6810,1.149847,0.682018
